id,title,release_date,genres,vote_average,overview
39405,U,2006-10-11,"['Animation', 'Fantasy']",6.6,"Since her parents passed away, Princess Mona lives by herself in a castle with two hideous, ghastly characters, Goomi and His Lordship. One day her sobs draw the attention of a unicorn, called U, who wants to comfort and protect Mona for as long as she needs. U becomes Mona's companion, her confidant and her inseparable friend. While Mona grows into a beautiful princess, a group of charming, peaceful and fanciful Yeah-Yeah’s settles in the neighboring forest. They have no particular special powers, yet they soon bring about major changes in everyone's lives, especially in Kulka, the dreamy musician."
1303795,U,2024-05-24,['Science Fiction'],7.0,The storms we go through help us deconstruct to rebuild.
1655272,U,2026-03-20,['Music'],0.0,U is a album video that accompanies the American musician underscore's third album of the same name.
1510235,Udaipur Files: Kanhaiya Lal Tailor Murder,2025-08-08,"['Crime', 'Drama']",7.0,"In June 2022, Kanhaiya Lal Sahu, a tailor in Udaipur, India, was brutally murdered. The events surrounding the murder are explored, delving into the conspiracy and the deeper issues of religious extremism, digital radicalization, and intelligence failures that led to the tragic event."
1132364,U,2002-12-30,[],8.4,A short movie by yuri A containing multiple poop facts.
1373799,u,,[],0.0,
43194,Ulysses,1954-10-06,"['Adventure', 'Fantasy']",6.5,"A movie adaptation of Homer's second epic, that talks about Ulysses' efforts to return to his home after the end of ten years of war."
146800,Uma to onna to inu,1990-05-01,"['Drama', 'Horror']",5.4,"Three social outcasts who live near the seaside interact with each other in increasingly disturbing ways. The trio of characters are a woman who has killed her sister, a man who enjoys necrophilia, and a female amnesiac. The first woman engages in sadistic pursuits such as capturing young women at the beach to force them to engage in sexual activities, including copulation with a horse and a dog."
991034,U.,2022-07-17,[],6.2,A girl remembers her past relationship.
1273948,Unspoken,2026-01-15,"['Crime', 'Drama', 'Action']",0.0,A grieving Chinese father travels to America to collect his daughter and stays to catch the killer.
1071640,Ultimate Revenge,2026-03-05,"['Action', 'Crime', 'Thriller']",6.5,"The Yau Tsim Mong area, the core commercial area of Hong Kong, has recently experienced a series of robberies. Many jewelry stores in the area have been ransacked by gangsters. Police unit is given the mission to take the gangsters into a custody, but the operation is not so easy."
10341,Until the End of the World,1991-09-12,"['Drama', 'Science Fiction', 'Adventure']",6.76,"In 1999, a woman's life is forever changed after she survives a car crash with two bank robbers, who enlist her help to take the money to a drop in Paris. On the way, she runs into another fugitive from the law — an American doctor on the run from the CIA. They want to confiscate his father's invention – a device which allows anyone to record their dreams and visions."
472640,Under the Tree,2017-09-06,"['Drama', 'Comedy']",6.655,"When Baldvin and Inga's next door neighbours complain that a tree in their backyard casts a shadow over their sundeck, what starts off as a typical spat between neighbours in the suburbs unexpectedly and violently spirals out of control."
991034,U.,2022-07-17,[],6.2,A girl remembers her past relationship.
85311,UFO Robot Grendizer vs. Great Mazinger,1976-03-20,"['Animation', 'Action', 'Adventure', 'Science Fiction']",5.8,"Alien invaders take over Great Mazinger who is at the entrance of a museum next to Mazinger Z as symbols of peace. Grendizer fights the evil invaders and Great Mazinger is recovered.  When the Vegan empire dispatches a new general to oversee the takeover of Earth, he quickly manages to capture Koji Kabuto and, learning of Great Mazinger through interrogation, quickly commandeers it from a museum where it was kept as a symbol of peace.  It is now up to Duke Fleed aboard Grendizer to stop humanity's former defender from becoming its destroyer."
525586,Uzeyir's Life,1981-12-20,"['Music', 'Documentary', 'TV Movie']",5.2,The historical film about Azerbaijan composer Uzeyir Hadjibeyov's life.
1611398,Un hombre por semana,2026-01-08,"['Comedy', 'Romance', 'Drama']",6.308,A divorced woman reconstructs her life and opens herself to love. Her search for dating apps takes her through fun and unpredictable moments to discover self-love.
24527,Undefeatable,1993-03-05,"['Action', 'Thriller']",5.176,"The film follows Kristi Jones who, along with her gang, take part in Mafia-run street fights to earn money for her sister's college education. Kristi's sister hopes to become a doctor and pay for Kristi's education."
1085678,UFO Robot Grendizer Theatrical Version,1975-12-20,[],7.0,Special episode in cinemascope format for Japanese cinemas.
156341,Urban Snap-Shots,2008-02-29,"['Drama', 'Comedy']",4.857,"Comedic portrait of middle-aged women in Rio de Janeiro, including overworked housewife Magali and her over-the-top twin sister Magda, psychoanalyst Paula and her troublesome daughter Melanie, and stage star in crisis Lise."
958234,Unruly,2023-03-09,['Drama'],6.6,"The year is 1933, and society has certain expectations of how young women should behave. 17-year-old Maren is wild and unruly and is in turn sent to the women's institution at Sprogø to become more compliant. The stay at Sprogø has the opposite effect on Maren, and she ignites a spark in Sørine, who after six years at the institution has become accustomed to the norms of the time and the expectations of the institution. Slowly the two begin to form an unbreakable bond, which will affect the rest of their lives."
1078920,Unicorns,2023-05-19,['Drama'],4.667,"Isa is a feminist, bisexual, and polyamorous posh girl, she passionately defends her life. When Guillem proposes to be a monogamous couple, Isa is not sure if he wants to change her life and, given her lack of decision, Guillem decides to break the relationship. Living in a world of appearances and comforts, her contradictions come to light and her universe is crumbling at the blow of likes and moral judgments in this web that social networks have become."
482677,Upload,2015-12-02,['Drama'],3.7,"When an amateur sexting video makes the rounds on social media, several involved individuals have to face the consequences. A film that takes on the subject of sexting and cyberbullying."
589705,Udgharsha,2019-03-22,['Thriller'],1.0,"A thriller film directed by Sunil Kumar Desai, starring Sai Dhanshika, Tanya Hope and Thakur Anoop Singh in the lead roles."
576784,Upon the Magic Roads,2021-02-18,"['Adventure', 'Fantasy']",6.8,"Romantic John the Fool and his friend Foal set out on a series of unpredictable adventures in different magical worlds. The two buddies will have to outsmart an evil tyrant king, catch the firebird, and find John’s true love."
1305715,Unexpected Family,2026-01-01,"['Comedy', 'Drama']",6.667,"When an aging local starts to lose his memory, those around him decide to recreate an important family moment in his life for him to relive. What they discover isn't what they expect — about both themselves and about the mysterious man's past."
537653,Ubasute,2014-12-29,[],0.0,"The ""yutori"" generation of Japan is accused of being one of the laziest in society. Being raised in a pressure-free education system, the ""yutori"" are often criticized for poor results and lack of drive in the workplace. Touma (Kensuke Owada), at age 27, struggles to keep a job, sleeps at an internet cafe, and complains about his every day with online friends. They blame society, and Touma, full of pride yet lost without a purpose, is about to drop out of it.  Frustrated with the elder generations telling him what to do, he wishes all old people were sent away, like the folklore ""UBASUTE"" where they are abandoned on a mountain. He finds an intriguing blog on the topic, and messages the blogger, a positive woman claiming to be his age. Little does he know, his new friend is actually a 72 year-old woman. Touma slowly learns how to face himself and improve his lifestyle thanks to their online conversations, and they finally get a chance to meet..."
1027672,Universal Prayer,2015-03-20,"['Drama', 'Music', 'Family']",0.0,"We seek to find the inner light of each one and thus turn on new lights, to leave the paths illuminated, so as not to walk blindly and alone. It is having a real awareness of our actions, that our life is a commitment and that if each one of us acts, a great change will be seen in the world. The power of life is to give us existence."
1223178,Umamusume: Pretty Derby - Beginning of a New Era,2024-05-24,"['Animation', 'Drama', 'Comedy', 'Fantasy']",7.9,"Jungle Pocket, an Umamusume who has been racing tirelessly in pursuit of becoming the greatest, is ready to take on the once-in-a-lifetime Classic Triple Crown series. However, standing in her way are rivals from the same generation, whose talent may even surpass her own."
1340355,Under Ninja,2025-01-24,['Action'],7.0,"The once-proud Japanese Ninja disappeared after the war when GHQ disbanded their organization.However, in reality ninjas still exist secretly and it is said that there are 200 thousand of them.And some elite ninjas are secretly operating behind the scenes in national-level struggles.On the other hand, grassroots ninjas often cannot find jobs, and one of them, Yun Yin Jiu Lang, also lives a life similar to that of the NEET generation.However, there is finally a major ""endurance"" around Ninomaru!"
366514,Up for Love,2016-05-04,"['Comedy', 'Romance', 'Drama']",6.013,"Diane is a well-known lawyer, divorced for three years. She loses her mobile telephone and receives a call from the person who finds it. That person is Alexandre, a charming man and the perfect gentleman. They make a connection over the phone and agree to meet up the following day. But when Alexandre arrives, there's a surprise in store when Diane discovers he is only 4' 6"" tall. From that moment on, Diane tries to overcome the prejudices of society and her own fears to experience the best time of her life..."
791370,Unwanted Cinema,2005-01-01,['Documentary'],0.0,"The documentary shows the exclusion of Jewish film makers after Hitler took power in Germany and how this led to an independent filmproduction in Vienna and Budapest from 1934 till 1937. With previously unpublished archive material are portrayed: Hermann Kosterlitz (Henry Koster), Felix Joachimson (Jackson), Joe Pasternak, Otto Wallburg, Hans Jaray, Franziska Gaal, Rosy Barsony, Hortense Raky, Oskar Pilzer, Zoltan Vidor, Ernst Verebes."
305896,Ursa Minor Blue,1993-05-21,"['Animation', 'Fantasy', 'Adventure']",6.8,This adventurous story of a boy named Uri and an old man takes place in the cosmic Milky Way where the starfish live. This is the tale of their fantasy journey in search of the mysterious monster fish.
1001311,Under Paris,2024-06-04,"['Action', 'Horror']",5.918,"In order to save Paris from an international bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine."
274056,Up&Down,2012-08-21,"['Romance', 'Comedy']",4.3,"A struggling actor pushing 30 works a day job at a luxury hotel, shepherding guests and party goers, while yearning for the girl of his dreams."
868668,Ustaad Bhagat Singh,2026-03-18,"['Action', 'Comedy', 'Drama']",6.2,"A tribal boy is shaped by the values of his teacher, who gives him the name 'Bhagat Singh'. He grows up deeply rooted in strong morals, which guide his actions throughout his life.He stands firm against injustice and takes on powerful evil forces, even when facing overwhelming odds."
53141,Undercurrent,1999-01-01,"['Action', 'Thriller', 'Romance']",3.5,"A nightclub manager with financial problems accepts an offer to seduce another man's wife for money, and soon finds himself entwined in a web of double-crossing con artists."
1027509,Uno Koichiro no Hotel Maid Nikki,1980-03-15,[],2.0,
582666,Utano Princesama Maji LOVE Kingdom,2019-06-14,"['Animation', 'Romance', 'Music']",6.25,"What's better than a concert by one of your favorite singing groups? A concert by three of your favorite singing groups, of course! That's what lucky fans get when three of the most popular vocal groups from the UTANO★PRINCESAMA franchise all come together for a single epic motion picture performance. Have you got your tickets yet? If you have, come join ST★RISH, QUARTET NIGHT, and HE★VENS as they all take to the stage! It's an epic battle of the bands where there's no battle and everyone wins in Utano★Princesama Maji Love Kingdom!"
1027867,U Motherbaker - The Movie,2023-01-13,"['Drama', 'Comedy']",3.5,"A film sequel to the popular series, U Motherbaker. It is a Taiwanese family comedy about culture and the challenges of transforming a traditional cake shop. The film spin-off depicts the mother’s adventures of being the number one fan of the superstar OO."
257673,Uku Ukai,2006-11-24,['Documentary'],6.2,"Sorrow does not come merely from contemplating death, which forces us to look into Eternity, but also from life, which compels us to confront Time"", wrote Russian philosopher Nikolai Berdyayev. Renowned Lithuanian documentarist Audrius Stonys took these words as a motto for his latest film, a meditative visual essay which portrays old people undertaking all kinds of activities, meditation and group laughter therapy. Without a single word of commentary, he creates from sophisticated, aesthetic images a compelling study of human corporeality which, in an ideal union with spiritual equilibrium, can sustain us with the pledge that old age doesn't have to be a painful wait for the last breath."
